schema_name,table_name,description,irsa_dbms,irsa_pos,cntr
TAP_SCHEMA,columns,Available columns at NASA/IPAC Infrared Science Archive,ORACLE,n,1
TAP_SCHEMA,key_columns,Available Key Columns at NASA/IPAC Infrared Science Archive,ORACLE,n,2
TAP_SCHEMA,keys,Available Keys at NASA/IPAC Infrared Science Archive,ORACLE,n,3
TAP_SCHEMA,schemas,Available schemas at NASA/IPAC Infrared Science Archive,ORACLE,n,4
TAP_SCHEMA,tables,Available tables at NASA/IPAC Infrared Science Archive,ORACLE,n,5
akari,akari_fis,Akari/FIS Bright Source Catalogue,ORACLE,y,6
akari,akari_irc,Akari/IRC Point Source Catalogue,ORACLE,y,7
astrometry,acs_iphot_sep07,COSMOS ACS I-band photometry catalog September 2007,ORACLE,y,8
astrometry,cosmos327,COSMOS VLA 327 MHz Catalog,ORACLE,y,9
astrometry,cosmos_chandra_bsc21,Chandra-COSMOS Bright Source Catalog v2.1,ORACLE,y,10
astrometry,cosmos_ib_phot,COSMOS Intermediate and Broad Band Photometry Catalog 2008,ORACLE,y,11
astrometry,cosmos_morph_cassata_1_1,COSMOS Cassata Morphology Catalog v1.1,ORACLE,y,12
astrometry,cosmos_morph_col_1,COSMOS Zamojski Morphology Catalog v1.0,ORACLE,y,13
astrometry,cosmos_morph_tasca_1_1,COSMOS Tasca Morphology Catalog v1.1,ORACLE,y,14
astrometry,cosmos_morph_zurich_1,COSMOS Zurich Structure and Morphology Catalog v1.0,ORACLE,y,15
astrometry,cosmos_phot,COSMOS Photometry Catalog January 2006,ORACLE,y,16
astrometry,cosmos_vla_deep_may2010,COSMOS VLA Deep Catalog May 2010,ORACLE,y,17
astrometry,cosmos_xgal,COSMOS X-ray Group Member Catalog,ORACLE,y,18
astrometry,cosmos_xgroups,COSMOS X-ray Group Catalog,ORACLE,y,19
astrometry,cosmos_xmm_2,COSMOS XMM Point-like Source Catalog v2.0,ORACLE,y,20
astrometry,cosmos_zphot_mag25,COSMOS Photometric Redshift Catalog Fall 2008 (<a href='/data/COSMOS/tables/redshift/cosmos_zphot_mag25.README'>README</a> - mag 25 limited),ORACLE,y,21
astrometry,cygx_arch,Cygnus-X Archive,ORACLE,y,22
astrometry,cygx_cat,Cygnus-X Catalog,ORACLE,y,23
astrometry,galex_emphot_v3,GALEX/COSMOS Prior-based Photometry Catalog June 2008,ORACLE,y,24
astrometry,morphology_2005,COSMOS Morphology Catalog 2005,ORACLE,y,25
